Algorithm	Optimization	Threads	Finished time (ms)	Combinations evaluated
single-pearson	base	8	453	20/49159
single-pearson	base	8	448	20/49159
single-pearson	base	8	414	20/49159
single-pearson	opt-1	8	136	10/49159
single-pearson	opt-1	8	111	10/49159
single-pearson	opt-1	8	108	10/49159
single-pearson	opt-2	8	109	10/49159
single-pearson	opt-2	8	110	10/49159
single-pearson	opt-2	8	109	10/49159
single-pearson	opt-3	8	119	10/49159
single-pearson	opt-3	8	106	10/49159
single-pearson	opt-3	8	111	10/49159
single-pearson	opt-4	8	119	10/49159
single-pearson	opt-4	8	136	10/49159
single-pearson	opt-4	8	126	10/49159
single-pearson	opt-7	8	86	10/49159
single-pearson	opt-7	8	90	10/49159
single-pearson	opt-7	8	84	10/49159
single-pearson	R_WGCNA	8	436.999999999999	20/49159 
single-pearson	R_WGCNA	8	421	20/49159 
single-pearson	R_WGCNA	8	133.999999999999	20/49159 
single-kendalls	base	8	3908	0/49159
single-kendalls	base	8	3906	0/49159
single-kendalls	base	8	3885	0/49159
single-kendalls	opt-1	8	914	0/49159
single-kendalls	opt-1	8	937	0/49159
single-kendalls	opt-1	8	923	0/49159
single-kendalls	opt-2	8	907	0/49159
single-kendalls	opt-2	8	915	0/49159
single-kendalls	opt-2	8	985	0/49159
single-kendalls	opt-3	8	956	0/49159
single-kendalls	opt-3	8	1029	0/49159
single-kendalls	opt-3	8	965	0/49159
single-kendalls	opt-4	8	976	0/49159
single-kendalls	opt-4	8	931	0/49159
single-kendalls	opt-4	8	949	0/49159
single-kendalls	opt-5	8	958	0/49159
single-kendalls	opt-5	8	983	0/49159
single-kendalls	opt-5	8	962	0/49159
single-kendalls	opt-6	8	873	0/49159
single-kendalls	opt-6	8	859	0/49159
single-kendalls	opt-6	8	864	0/49159
single-kendalls	R_WGCNA	8	247427	0/49159 
single-kendalls	R_WGCNA	8	253555	0/49159 
single-kendalls	R_WGCNA	8	257897	0/49159 
single-spearman	base	8	5343	41/49159
single-spearman	base	8	5261	41/49159
single-spearman	base	8	5645	41/49159
single-spearman	opt-1	8	1289	10/49159
single-spearman	opt-1	8	1526	10/49159
single-spearman	opt-1	8	1548	10/49159
single-spearman	opt-2	8	1348	10/49159
single-spearman	opt-2	8	1423	10/49159
single-spearman	opt-2	8	1585	10/49159
single-spearman	opt-3	8	1367	10/49159
single-spearman	opt-3	8	1408	10/49159
single-spearman	opt-3	8	1610	10/49159
single-spearman	opt-4	8	1469	10/49159
single-spearman	opt-4	8	1471	10/49159
single-spearman	opt-4	8	1581	10/49159
single-spearman	R_WGCNA	8	11237	41/49159 
single-spearman	R_WGCNA	8	10737	41/49159 
single-spearman	R_WGCNA	8	9138	41/49159 
